adrenal_gland	autonomic_ganglia	biliary_tract	bone	breast	central_nervous_system	cervix	endometrium	eye	genital_tract	haematopoietic_and_lymphoid_tissue	kidney	large_intestine	liver	lung	meninges	NS	oesophagus	ovary	pancreas	penis	perineum	peritoneum	pituitary	placenta	pleura	prostate	salivary_gland	skin	small_intestine	soft_tissue	stomach	testis	thymus	thyroid	upper_aerodigestive_tract	urinary_tract	vagina	vulva	gene
NA	NA	0	NA	0.08333333333333333	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PLEKHM1
NA	NA	0	NA	0.005405405405405406	0	NA	NA	NA	NA	NA	0	0	0.5	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	PSEN1
NA	NA	0	NA	0	0	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAB20
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAB21
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAB34
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAB7A
0	0.011627906976744186	0.01593625498007968	0.014598540145985401	0.008855154965211892	0.015479876160990712	0.0392156862745098	0.05333333333333334	0	0	0.01932367149758454	0	0.02570694087403599	0	0.013962445835339432	0	0.07339449541284404	0.017241379310344827	0.013029315960912053	0.005357142857142857	0.14285714285714285	0	0	0	0	0	0.007761966364812419	0.02702702702702703	0.10080645161290322	0.05084745762711865	0.08695652173913043	0.016877637130801686	0	0	0.004640371229698376	0.004830917874396135	0.030660377358490566	0	0	RPTOR
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNAP29
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNAP47
NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNAPIN
NA	NA	0	NA	0.08333333333333333	0	NA	NA	NA	NA	NA	NA	0	0.3333333333333333	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SPG11
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0.02702702702702703	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	STX17
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	STX6
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SYT7
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TARDBP
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	TFEB
NA	NA	0	NA	0	0	NA	NA	NA	NA	0	NA	0.02702702702702703	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TGM2
NA	NA	0	NA	0.09090909090909091	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIFA
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMEM175
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0.3333333333333333	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	TOM1
